Instance,Vogel,Vogel-TOCM,Russel,Russel-TOCM
1,905543,905543,906032,905915
2,933500,933500,934264,934264
3,968303,969281,969000,969032
4,940713,940754,943385,943546
5,984198,984318,984679,985106
6,932266,931785,933441,932893
7,956557,956503,958347,958440
8,952409,952519,953355,953355
9,972896,972818,974050,974087
10,956873,956992,956654,956710
11,841964,843692,843146,844359
12,909724,909672,913610,913574
13,881492,881415,884010,886104
14,847619,847619,851018,852128
15,827698,826632,834336,829095
16,935972,936053,940618,941477
17,908490,907851,908986,908986
18,921422,923056,920873,925191
19,858410,856871,859372,861267
20,902827,905728,908518,907616
21,625183,600316,631718,634531
22,617980,614251,615416,628151
23,614539,604030,621479,609036
24,603540,612907,562489,569493
25,595997,593197,627707,620303
26,627181,613693,605999,605999
27,621449,630591,624604,627575
28,636232,629190,631807,649107
29,621630,626560,630143,629863
30,642431,644643,673904,642797
31,279773,269261,271176,287880
32,204397,167356,219126,213423
33,269279,256179,329281,314582
34,346498,348046,397366,409614
35,252115,260611,314564,271935
36,254849,232549,289195,289195
37,261225,282072,362544,358026
38,325605,324668,330372,352883
39,272546,231663,279815,294732
40,201145,194246,261064,224291
41,939448,939448,938015,938229
42,987985,987985,986361,986361
43,964312,963761,964640,964653
44,979750,978383,976926,977236
45,1005398,1003845,1001042,1001469
46,951869,951869,953285,953182
47,982185,982185,981111,981325
48,991425,991425,987713,987368
49,929084,929084,927867,927888
50,950447,950164,947417,947464
51,938192,938192,927767,928978
52,930127,922698,917138,916857
53,965401,959844,951940,951355
54,905024,901901,888175,889782
55,934635,935577,935688,935186
56,934229,934229,925278,927305
57,943668,942968,941064,941930
58,892904,893125,882781,881252
59,934819,934819,929298,927375
60,945001,931955,936356,928289
61,694860,674673,650387,648038
62,615769,625760,586901,584018
63,648995,652620,571240,567542
64,701341,631401,579453,573275
65,633196,599370,589066,590230
66,608569,608395,626614,634410
67,714900,713130,660042,646465
68,664078,667690,658974,630822
69,761026,761026,763606,721616
70,620678,608359,617230,603555
71,227359,221217,266899,269596
72,260794,227574,301738,283285
73,203036,211611,255842,244051
74,156693,156693,216017,241964
